,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1047,Georges Fire,2018-07-08 13:36:00,Inyo National Forest Service ,Inyo,"off Hogback and Whitney Portal Road, Alabama Hills",2883,Inyo National Forest Service ,-118.21881,36.6734,2019-01-04 09:54:00,2019-01-04,2018-07-08
1048,Vista Fire,2018-07-08 14:41:00,CAL FIRE Shasta-Trinity Unit,Shasta,"off Hwy 299 E and Deschutes Rd, Bella Vista",31,CAL FIRE Shasta-Trinity Unit,-122.23449,40.62693,2019-01-04 09:53:00,2019-01-04,2018-07-08
1049,Bruce Fire,2018-07-08 16:45:00,CAL FIRE Santa Clara Unit,Contra Costa,"off Bruce Lane and Joseph Lane, east of San Ramon",56,CAL FIRE Santa Clara Unit,-121.85311000000002,37.79718,2019-01-04 09:53:00,2019-01-04,2018-07-08
1050,Grant Fire,2018-07-08 17:38:00,CAL FIRE Santa Clara Unit,Alameda,"off I580 and Grantline Rd, Altamont Area",640,CAL FIRE Santa Clara Unit,-121.60646000000001,37.75646,2019-01-04 09:53:00,2019-01-04,2018-07-08
1051,James Loop Fire,2018-07-09 12:53:00,East Fork Fire and Paramedic District / Bureau of Land Management,,"Jacks Valley Rd and James Canyon Loop, 7 miles northwest of Minden Nevada ",280,East Fork Fire and Paramedic District / Bureau of Land Management,-119.82242,39.053909999999995,2019-01-04 09:53:00,2019-01-04,2018-07-09
1052,Box Fire,2018-07-06 09:36:00,San Bernardino National Forest ,San Bernardino,"off Interstate 15 and Kenwood Ave, north of San Bernardino",100,San Bernardino National Forest ,-117.40966999999999,34.22526,2019-01-04 09:55:00,2019-01-04,2018-07-06
1053,Cornerstone Fire,2018-07-09 17:54:00,CAL FIRE Madera-Mariposa-Merced ,Madera,"Cornerstone Court, Yosemite Lakes",11,CAL FIRE Madera-Mariposa-Merced ,-119.80413999999999,37.198170000000005,2019-01-04 09:52:00,2019-01-04,2018-07-09
1054,Spring 2 Fire,2018-07-09 16:46:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Pawnee Dr. and New Long Valley Dr., northeast of Clearlake ",80,CAL FIRE Sonoma-Lake-Napa Unit,-122.59788999999999,39.06715,2019-01-04 09:51:00,2019-01-04,2018-07-09
1055,Dale Fire,2018-07-09 18:30:00,CAL FIRE Tehama-Glenn Unit,Tehama,"off Hwy 36 and Manton Rd, 10 miles NE of Red Bluff ",856,CAL FIRE Tehama-Glenn Unit,-121.93908,40.33682,2019-01-04 09:52:00,2019-01-04,2018-07-09
1056,Idria Fire,2018-07-12 12:57:00,CAL FIRE San Benito-Monterey,San Benito,"Panoche Rd and New Idria Rd, west of San Joaquin",116,CAL FIRE San Benito-Monterey,-120.82355,36.59036,2019-01-04 09:49:00,2019-01-04,2018-07-12
1057,3-2 Fire,2018-07-14 15:00:00,CAL FIRE Lassen-Modoc Unit,Lassen,"off Homestead Ranch Road, southeast of Doyle ",14,CAL FIRE Lassen-Modoc Unit,-120.02136999999999,39.99309,2019-01-04 09:45:00,2019-01-04,2018-07-14
1058,Steamboat Fire,2018-07-15 09:58:00,CAL FIRE Siskiyou Unit,Siskiyou,"Shasta Valley Wildlife Area, 4 miles south east of Montague ",224,CAL FIRE Siskiyou Unit,-122.47293,41.70877,2019-01-04 09:44:00,2019-01-04,2018-07-15
1059,3-10 Fire,2018-07-15 11:55:00,CAL FIRE Lassen-Modoc Unit,Lassen,"Hwy 299 E and Little Valley Rd, Dixie Valley Peak, 16 miles east of Fall River Mills",56,CAL FIRE Lassen-Modoc Unit,-121.21597,40.95234,2019-01-04 09:44:00,2019-01-04,2018-07-15
