,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1306,Range Fire,2019-07-28 22:39:05,Los Padres National Forest,Santa Barbara,north of Lake Cachuma,100,Los Padres National Forest,-119.94973999999999,34.665699,2019-08-05 12:27:00,2019-08-05,2019-07-28
1307,Lake Fire,2019-07-29 15:43:48,CAL FIRE San Benito - Monterey Unit,Monterey,"near Lake San Antonio, Jolon Road and New Pleyto Road, Lockwood ",316,,-120.984167,35.908333,,,2019-07-29
1308,Mill Fire,2019-07-30 13:28:17,Los Padres National Forest,Monterey,"In Los Padres National Forest, West of Fort Hunter Liggett ",280,Los Padres National Forest,-121.466944,36.008889,2019-08-12 08:20:00,2019-08-12,2019-07-30
1309,Carson Fire,2019-07-30 19:27:46,CAL FIRE Amador-El Dorado Unit,El Dorado,"Northeast of Placerville in the community of Camino, off of Shadow Ridge Road",13,,-120.75663999999999,38.757636,2019-07-31 06:47:00,2019-07-31,2019-07-30
1310,Mesa Fire ,2019-07-31 17:13:53,Kern County Fire Department,Kern,"near Quail Dr and Bobcat Dr in the Kern River Valley, South of Lake Isabela",448,Kern County Fire Department ,-118.41203999999999,35.60989,,,2019-07-31
1311,Caliente Fire,2019-08-01 14:53:15,City of San Diego Fire-Rescue ,San Diego,"Off Airway Road and Caliente Ave, in San Ysidro ",448,City of San Diego Fire-Rescue,-117.02666699999999,32.575556,2019-08-03 09:10:00,2019-08-03,2019-08-01
1312,Browns Fire,2019-08-02 09:23:00,CAL FIRE Amador El Dorado Unit ,Sacramento,"Off Twin Cities Road and Clay Station Road, Northeast of Herald ",84,,-121.12361100000001,38.3525,2019-08-02 14:03:00,2019-08-02,2019-08-02
1313,Prairie Fire ,2019-08-02 14:45:00,CAL FIRE Amador-El Dorado Unit,Sacramento,off White Rock Road and Prairie City Road ,50,,-121.11409499999999,38.622058,2019-08-02 17:00:00,2019-08-02,2019-08-02
1314,Meadow Fire (Not a CAL FIRE incident),2019-08-02 16:53:18,Davis Creek Fire Department,Modoc,"County Road 48 and Highway 395, northeast of Alturas",103,,-120.23976,41.43783,2019-08-02 21:39:00,2019-08-02,2019-08-02
1315,Marsh Complex,2019-08-03 03:16:00,Unified Command: CAL FIRE Santa Clara Unit and East Contra Costa Fire Protection District,Contra Costa,"Marsh Creek Rd and Morgan Territory Rd, southwest of Brentwood",757,,-121.872941,37.908362,2019-08-06 18:42:00,2019-08-06,2019-08-03
1316,Five Fire,2019-08-03 17:01:15,Angeles National Forest,Los Angeles,Off Interstate 5 & Templin Hwy,156,Angeles National Forest,-118.75239499999999,34.677864,2019-08-05 12:25:00,2019-08-05,2019-08-03
1317,La Barisa Fire,2019-08-03 17:22:51,CAL FIRE San Bernardino Unit,San Bernardino,Off La Barisa Dr & Hwy 247 in Landers,26,,-116.4449,34.202883,2019-08-04 06:39:00,2019-08-04,2019-08-03
1318,Gilbert Fire,2019-08-04 17:18:21,CAL FIRE Shasta-Trinity Unit,Shasta,"Highway 44 and Gilbert Drive, Palo Cedro, East of Redding",30,,-122.25408999999999,40.55924,,,2019-08-04
1319,Caliente Fire,2019-08-05 13:56:02,Kern County Fire Department ,Kern,"Caliente Bodfish Rd, east of Bakersfield",29,Kern County Fire Department ,-118.623651,35.287372999999995,2019-08-06 18:43:00,2019-08-06,2019-08-05
1320,Toro Fire ,2019-08-05 15:36:23,CAL FIRE Riverside County Fire Department ,Riverside,"26000 Block El Toro Road, North of Lake Elsinore",94,Riverside County Fire Department ,-117.33372800000001,33.740219,2019-08-06 18:42:00,2019-08-06,2019-08-05
1321,Sellers Fire,2019-08-07 15:13:52,East Contra Costa Fire Protection District,Contra Costa,"Sellers Ave and Delta Rd, 2 miles northeast of Brentwood",58,East Contra Costa Fire Protection District,-121.678172,37.968494,,,2019-08-07
1322,R-1 Fire,2019-08-07 17:21:13,BLM Northern California District,Lassen,"Juniper Ridge Road and Juniper Tree Road, north of Ravendale",130,BLM Northern California District,-120.336977,40.886677,,,2019-08-07
1323,3-2 Willow (Previously H-1 Fire),2019-08-07 18:48:57,Lassen National Forest,Lassen,"Pittville Road and Sheep Flat Road, southeast of Fall River Mills",107,Lassen National Forest,-121.320838,40.900458,,,2019-08-07
1324,Golf Fire,2019-08-08 14:55:59,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Soda Bay Road and Golf Drive, northwest of Clearlake",20,,-122.7751,38.99174,2019-08-11 10:28:00,2019-08-11,2019-08-08
1325,Preston Fire,2019-08-08 16:16:40,CAL FIRE TCU,Tuolumne,"10,000 Block Preston Lane, Jamestown",21,,-120.42005800000001,37.949746999999995,2019-08-08 17:12:00,2019-08-08,2019-08-08
1326,W1 McDonald Fire,2019-08-08 18:42:41,USFS Lassen National Forest,Lassen,"Cold Springs Rd and McDonald Peak, 11 miles southeast of Madeline",1020,"USFS Lassen National Forest, BLM Northern California District - Susanville",-120.27529799999999,40.943799,2019-08-11 11:35:00,2019-08-11,2019-08-08
1327,Harte Fire,2019-08-09 15:09:50,CAL FIRE SCU,Alameda,"Central Pkwy and Croak Rd, 4 miles east of Dublin",240,Alameda County Fire,-121.841879,37.708743,,,2019-08-09
1328,Ward Fire,2019-08-09 23:08:25,Oregon Department of Forestry,State of Oregon,"Highway 66 and Ward Rd, 13 miles west of Keno, Oregon",1301,Southwest Oregon District - Oregon Department of Forestry,-122.175,42.033,2019-08-18 16:33:00,2019-08-18,2019-08-09
1329,Heavy Range Fire,2019-08-10 18:47:02,Beale Air Force Base,Yolo,"Hammonton Smartsville Rd. and Kendal Rd, Beale Air Force Base",33,,-121.423281,39.171091,2019-08-10 15:07:00,2019-08-10,2019-08-10
1330,Radio Fire,2019-08-12 10:53:10,CAL FIRE/Riverside County Fire Department,Riverside,David Mountain Radio Road at David Mountain Road in Beaumont,20,CAL FIRE / Riverside County Fire,-117.004667,33.909791999999996,2019-08-12 08:21:00,2019-08-12,2019-08-12
1331,Lower Fire,2019-08-12 14:16:53,CAL FIRE Shasta-Trinity Unit,Shasta,Gas Point Rd & Lower Gas Point Rd in Igo,46,CAL FIRE Shasta-Trinity Unit,-122.54364,40.46968,2019-08-13 16:15:00,2019-08-13,2019-08-12
1332,Moose Fire,2019-08-12 17:10:00,CAL FIRE Mendocino Unit,Mendocino,Off Moose Rd & Bus McGall Rd northwest of Hopland,225,"Hopland Fire, Mendocino County Sheriffs Department (Evacuation Information)",-123.195306,39.005262,2019-08-17 18:15:00,2019-08-17,2019-08-12
1333,West Fire ,2019-08-13 14:37:54,CAL FIRE Los Angeles County Fire Department ,Los Angeles,"off of 120th Street  West and Coppermill Road, Lancaster ",105,Los Angeles County Fire Department ,-118.34223899999999,34.675542,,,2019-08-13
1334,Timm Fire ,2019-08-13 15:41:24,CAL FIRE Sonoma Lake Napa Unit,Solano,"Off of Timm Road and Allendale Road, South of Winters ",81,,-121.969167,38.455,2019-08-13 18:00:00,2019-08-13,2019-08-13
1335,Greenstone Fire ,2019-08-14 16:07:49,CAL FIRE Amador El Dorado Unit ,El Dorado,Off of Greenstone Road and Buck Mountain Road ,16,,-120.890556,38.703889000000004,2019-08-14 18:52:00,2019-08-14,2019-08-14
1336,Spring Fire ,2019-08-14 12:52:00,CAL FIRE Sonoma Lake Napa Unit & William Fire Department ,Colusa,Off of Spring Valley Road and Highway 20,20,,-122.30916699999999,39.088333,2019-08-14 18:51:00,2019-08-14,2019-08-14
1337,Bayliss Fire,2019-08-15 13:44:02,Unified command: CAL FIRE Santa Clara Unit and San Jose Fire Department,Santa Clara,"Santa Teresa Blvd and Bayliss Drive, South San Jose",60,,-121.761974,37.219716999999996,,,2019-08-15
1338,Cottage Fire,2019-08-15 15:09:55,CAL FIRE Shasta-Trinity Unit,Shasta,"Dersch Rd and Cottage Hill Dr, northeast of Anderson ",156,,-122.159393,40.484328999999995,2019-08-17 18:43:00,2019-08-17,2019-08-15
1339,Hunter Fire,2019-08-15 15:15:56,CAL FIRE Madera-Mariposa-Merced Unit,Mariposa,"Bear Valley Rd and Cotton Creek Rd, east of Snelling",423,,-120.208019,37.532028000000004,,,2019-08-15
1340,Border 9 Fire,2019-08-15 16:24:24,CAL FIRE San Diego County Fire,San Diego,"Off of Marron Valley Road and Border Road, Southeast of Dulzura  ",80,,-116.760465,32.57394,2019-08-16 18:44:00,2019-08-16,2019-08-15
1341,Patterson Fire,2019-08-15 17:47:43,CAL FIRE Amador-El Dorado Unit,El Dorado,"Patterson Drive, south of Placerville",35,,-120.82616499999999,38.652475,2019-08-16 10:35:00,2019-08-16,2019-08-15
1342,Border 8 Fire,2019-08-16 06:14:55,Unified Command: CAL FIRE and Mexican Fire Agency Consulate Emergency Services Fire Department,Mexico,"City of Tecate, southeast of San Diego ",1507,,-116.65873500000001,32.573437,2019-08-17 14:30:00,2019-08-17,2019-08-16
1343,Gaines Fire,2019-08-16 14:11:02,CAL FIRE Madera-Mariposa-Merced Unit,Mariposa,"Mt Gaines Rd and Bear Valley Rd, Bear Valley",1300,,-120.17701799999999,37.536069,,,2019-08-16
1344,Patterson Fire,2019-08-21 17:56:05,CAL FIRE Santa Clara Unit,Alameda,"Patterson Pass and Midway Road, west of Tracy",139,,-121.55866999999999,37.71734,2019-08-21 18:27:00,2019-08-21,2019-08-21
1345,Mountain Fire,2019-08-22 11:02:09,CAL FIRE Shasta-Trinity Unit,Shasta,"Bear Mountain Road and Dry Creek Road, north of Bella Vista",600,Shasta County Sheriff's Office,-122.24194399999999,40.715556,2019-08-26 17:00:00,2019-08-26,2019-08-22
1346,Yucca Fire,2019-08-22 19:31:10,CAL FIRE/Riverside County Fire Department,Riverside,Highway 371 cross of Yucca Road,34,,-116.857817,33.4506,2019-08-23 23:00:00,2019-08-23,2019-08-22
1347,Horse Fire,2019-08-24 16:33:58,Bureau of Land Management ,Lassen,"Off Highway 139  and Horselake Road, North of Susanville",131,Bureau of Land Management,-120.544,40.562,2019-08-27 10:44:00,2019-08-27,2019-08-24
1348,Long Valley Fire ,2019-08-24 17:25:04,Bureau of Land Management,Lassen,"Off Highway 395 and Red Rock Road, North of Hallelujah Junction",2438,Bureau of Land Management,-120.02972199999999,39.892222,2019-08-27 09:01:00,2019-08-27,2019-08-24
1349,Ivy Fire,2019-08-25 10:58:28,CAL FIRE / Riverside County Fire,Riverside,near Northbound Intestate 15 and Temescal Canyon,80,,-117.487578,33.77777348,2019-08-25 13:00:00,2019-08-25,2019-08-25
1350,Jamieson Fire,2019-08-25 13:06:49,CAL FIRE Santa Clara Unit,Santa Clara,at Jamieson Road and Cañada Road near Gilroy,35,,-121.45597,37.034183,,,2019-08-25
1351,Border 10 Fire,2019-08-25 16:15:15,CAL FIRE San Diego Unit,"Mexico, San Diego",Mexico / California International border in the area east of the Otay port of entry.,25,,-116.87395500000001,32.557546,2019-08-28 08:54:00,2019-08-28,2019-08-25
1352,Sage Fire,2019-08-27 11:33:56,CAL FIRE / Riverside County Fire,Riverside,"near the intersection of Sage Road and Highway 79, in Aguanga",12,,-116.914799,33.463991,2019-08-27 08:54:00,2019-08-27,2019-08-27
1353,R-1 Fire,2019-08-28 19:48:14,Bureau of Land Management ,Lassen,"Hagata Canyon, east of Eagle Lake",3380,Bureau of Land Management ,-120.581,40.593,2019-09-04 16:22:00,2019-09-04,2019-08-28
1354,Carroll Fire,2019-08-31 12:55:15,CAL FIRE Santa Clara Unit,Alameda,eastbound 580 and North Flynn Road,19,,-121.65701100000001,37.718636,2019-08-31 12:50:00,2019-08-31,2019-08-31
1355,Creek Fire,2019-08-31 15:31:59,CAL FIRE Tulare Unit,Tulare,"Dry Creek Dr and Lomitas Drive, east of Woodlake",756,,-119.030621,36.40193,,,2019-08-31
1356,Jolon Fire,2019-09-01 16:35:55,CAL FIRE San Benito-Monterey Unit,Monterey,"Jolon Road and New Pleyto Road, Lockwood",66,,-120.99291399999998,35.906482000000004,2019-09-02 10:08:00,2019-09-02,2019-09-01
1357,Snail Fire,2019-09-01 17:37:43,Los Padres National Forest,Ventura,3 miles northwest of Reyes Creek,279,Los Padres National Forest,-119.3547,34.71011,2019-09-05 08:14:00,2019-09-05,2019-09-01
1358,Mines Fire,2019-09-02 14:36:35,CAL FIRE Santa Clara Unit,Alameda,"Mines Road, Livermore",11,,-121.596667,37.545167,2019-09-02 19:13:00,2019-09-02,2019-09-02
1359,Antelope Fire,2019-09-02 15:40:37,CAL FIRE San Benito-Monterey Unit,San Benito,"Panoche Road and New Idria Road, Paicines",167,,-120.8405,36.600167,2019-09-03 07:11:00,2019-09-03,2019-09-02
1360,Telephone Fire,2019-09-02 20:27:29,CAL FIRE San Bernardino Unit,San Bernardino,"Old Dump Road, south of Summit Valley Road, Hesperia",15,,-117.343833,34.353667,2019-09-06 08:00:00,2019-09-06,2019-09-02
1361,Country Fire,2019-09-03 14:57:31,CAL FIRE Amador - El Dorado Unit,El Dorado,"Highway 193 and Penobscot Rd, east of Cool",85,El Dorado County Sheriff's Office,-120.946657,38.898915,2019-09-06 07:24:00,2019-09-06,2019-09-03
1362,Deer Fire,2019-09-03 15:36:45,CAL FIRE San Mateo-Santa Cruz Unit,Santa Cruz,"Deer Creek Road and Rons Road, northeast of Boulder Creek",10,,-122.07743,37.178353,2019-09-06 19:48:00,2019-09-06,2019-09-03
1363,Walker Fire,2019-09-04 15:17:31,USFS Plumas National Forest,Plumas,"Indian Creek and Beckworth Genesee Road, east of Genesee",54612,USFS - Plumas National Forest,-120.68055600000001,40.061389,,,2019-09-04
1364,Tenaja,2019-09-04 16:43:36,CAL FIRE/Riverside County Fire Department ,Riverside,"Tenaja Road and Clinton Keith Road, in La Cresta",1926,"CAL FIRE / Riverside County Fire, City of Murrieta ",-117.27315700000001,33.528469,2019-09-14 19:00:00,2019-09-14,2019-09-04
1365,Glass Fire,2019-09-04 16:26:00,Sonoma-Lake-Napa Unit,Lake,"Highway 29 and DNA Ridge Rock, Southwest of Clear Lake.",28,,-122.642572,38.910498,2019-09-05 10:03:00,2019-09-05,2019-09-04
1366,Foster Fire ,2019-09-04 20:33:59,CAL FIRE San Benito Monterey Unit ,San Benito,"off of Grass Valley Road and Cienega Road, in Hollister",17,,-121.39478000000001,36.732865999999994,2019-09-04 20:33:00,2019-09-04,2019-09-04
1367,Red Bank Fire,2019-09-05 13:19:56,CAL FIRE Tehama Glenn Unit ,Tehama,"Off Hammer Loop Road and Petty John Road, West of Red Bluff ",8838,Tehama County Sheriff's Office,-122.64,40.12,2019-09-13 19:00:00,2019-09-13,2019-09-05
1368,Flood Fire ,2019-09-05 14:33:01,CAL FIRE Tuolumne Calaveras Unit,San Joaquin,"near Flood Rd and N. Waverly Road, Southwest of Rancho Calaveras",44,,-120.945044,38.017138,2019-09-05 19:56:00,2019-09-05,2019-09-05
1369,Henthorne Fire,2019-09-05 09:25:00,USFS Mendocino National Forest ,Trinity,"Yolla Bolly Middle Eel Wilderness near Henthorne Lake, North of Covelo",244,Mendocino National Forest,-123.222196,40.062304,2019-09-18 12:17:00,2019-09-18,2019-09-05
1370,South Fire,2019-09-05 19:59:46,Shasta-Trinity National Forest ,Tehama,"Southeast aspect of Tomhead Mountain, South of Platina",5332,Shasta-Trinity National Forest ,-122.789,40.109,2019-12-02 16:12:00,2019-12-02,2019-09-05
1371,Springs Fire,2019-09-06 11:24:11,USFS - Inyo National Forest,Mono,"southeast of Lee Vining, CA",4840,Inyo National Forest,-118.87200000000001,37.826,,,2019-09-06
1372,Lone Fire,2019-09-06 11:34:27,USFS - Modoc National Forest,Modoc,"Pinnacle Lake, Doublehead Ranger district, Modoc National Forest",5737,USFS - Modoc National Forest,-121.056,41.748000000000005,2019-09-13 07:19:00,2019-09-13,2019-09-06
1373,Cow Fire,2019-09-06 12:23:00,USFS - Inyo National Forest ,Inyo,"Golden Trout Wilderness, Inyo National Forest",1975,Inyo National Forest ,-118.228,36.284,2019-11-21 16:08:00,2019-11-21,2019-09-06
1374,Broder Fire,2019-09-06 12:39:18,USFS - Sequoia National Forest,Tulare,Northeast of Broder Meadow,381,Sequoia National Forest,-118.185,36.150999999999996,,,2019-09-06
1375,Taboose Fire,2019-09-06 12:43:35,Inyo National Forest     ,Inyo,south west of Big Pine and north west of Aberdeen,10296,"Inyo National Forest , Inyo County Sheriff's Office",-118.345,37.034,2019-11-21 16:09:00,2019-11-21,2019-09-06
1376,Forbestown Fire,2019-09-06 15:18:52,CAL FIRE Butte Unit,Butte,"Forbestown Road and Hurleton Swedes Flat Road, east of Oroville ",58,,-121.412333,39.470333000000004,2019-09-12 18:49:00,2019-09-12,2019-09-06
1377,R-6 Fire,2019-09-06 13:20:00,Bureau of Land Management - Northern CA District,Lassen,"North of Fredonyer Peak, southwest of Termo",260,Bureau of Land Management - Northern CA District,-120.60600000000001,44.733999999999995,2019-09-11 18:30:00,2019-09-11,2019-09-06
1378,Lime Fire,2019-09-07 08:36:32,Klamath National Forest,Siskiyou,"Ash Creek and Highway 96, Southwest of Hornbrook",1872,Klamath National Forest,-122.66225800000001,41.862237,,,2019-09-07
1379,Kidder 2 Fire,2019-09-07 08:47:46,Klamath National Forest,Siskiyou,"Marble Mountain Wilderness and Kidder Creek, Northwest of Etna",227,Klamath National Forest,-123.2129356,41.492974200000006,2019-09-26 08:00:00,2019-09-26,2019-09-07
1380,Rams Horn Fire,2019-09-07 08:49:58,Shasta-Trinity National Forest,Trinity,"Highway 3 and Bear Creek Loop, Northeast of Coffee Creek",280,Shasta-Trinity National Forest,-122.63410800000001,41.150392,2019-09-12 10:08:00,2019-09-12,2019-09-07
1381,Oak Fire,2019-09-07 14:00:00,CAL FIRE Sonoma Lake Napa Unit,Lake,"Highway 29 and Cole Creek Road, South of Kelseyville",53,CAL FIRE Sonoma Lake Napa Unit,-122.833831,38.955024,2019-09-08 07:00:00,2019-09-08,2019-09-07
1382,Swedes Fire,2019-09-07 15:06:00,CAL FIRE Butte County Fire ,Butte,"Swedes Flat Road and Oro Bangor Highway, east of Oroville",496,CAL FIRE Butte County Fire ,-121.41261899999999,39.45296,2019-09-13 19:00:00,2019-09-13,2019-09-07
1383,Duzel Fire,2019-09-07 18:19:16,CAL FIRE Siskiyou unit,Siskiyou,"Near Duzel Rock Lookout, northeast of Etna",15,CAL FIRE Siskiyou unit,-122.740333,41.512917,2019-09-10 19:27:00,2019-09-10,2019-09-07
1384,Sycamore Fire,2019-09-07 20:31:46,Riverside City Fire Department,Riverside,"Kangaroo Court and River Ridge Drive, Riverside ",250,Riverside City Fire Department,-117.3063,33.9369,2019-09-08 18:00:00,2019-09-08,2019-09-07
1385,McMurray Fire,2019-09-09 17:42:43,Santa Barbara County Fire,Santa Barbara,"McMurray Rd and Hwy 101, north of Buellton",200,Santa Barbara County Fire ,-120.18736799999999,34.630919,2019-09-14 08:00:00,2019-09-14,2019-09-09
1386,Bailey Fire,2019-09-10 10:43:58,CAL FIRE/Riverside County Fire Department,Riverside,Bailey Road and Terwilliger Road in Anza,10,,-116.631106,33.496633,2019-09-10 10:45:00,2019-09-10,2019-09-10
1387,Stuhr Fire ,2019-09-11 11:25:43,CAL FIRE Santa Clara Unit ,Stanislaus,"Off SB Interstate 5 and West Stuhr Road, South of Patterson City ",190,,-121.110146,37.32585,,,2019-09-11
1388,Redwood Fire,2019-09-12 20:30:41,CAL FIRE Riverside Unit,Riverside,Mead Valley ,34,,-117.27014399999999,33.854597,,,2019-09-12
1389,Bridge Fire,2019-09-13 20:00:29,CAL FIRE TCU (Tuolumne-Calaveras Unit),Stanislaus,Knights Ferry,11,,-120.401028,37.492002,2019-09-13 21:43:00,2019-09-13,2019-09-13
1390,Horseshoe Fire ,2019-09-14 17:53:00,CAL FIRE RRU (Riverside County Fire),Riverside,"Horseshoe Trail and Stagecoach Road, Juniper Flats",520,"CAL FIRE RRU (Riverside County Fire), Murrieta Fire Protection District, Riverside City FD, Riverside County Sheriff’s Office",-117.043723,33.4853,,,2019-09-14
1391,Bar Fire,2019-09-15 15:52:00,Klamath National Forest ,Siskiyou,"Southwest of Bald Mountain and Klamath Bar, Klamath National Forest",91,Klamath National Forest,-123.00083300000001,41.749666999999995,,,2019-09-15
1392,Bautista Fire,2019-09-15 20:13:05,San Bernardino National Forest,Riverside,"Bautista Road and Tripp Flats, West of Lake Hemet",167,San Bernardino National Forest,-116.801111,33.635,2019-09-22 18:00:00,2019-09-22,2019-09-15
1393,Baseline Fire ,2019-09-20 15:02:08,CAL FIRE Nevada-Yuba-Placer Unit,Placer,"Baseline Road and Country Acres Lane, north of Rio Linda ",604,"Sacramento Metro Fire Department, Roseville City Fire Department, Placer County Fire, South Placer Fire, Penryn Fire",-121.43263600000002,38.751647999999996,,,2019-09-20
1394,Reservoir Fire,2019-09-21 11:49:00,CAL FIRE Santa Clara Unit,Santa Clara,"Calaveras Rd and Felter Road, 5 miles northeast of Milpitas",128,,-121.842751,37.467744,2019-09-24 18:00:00,2019-09-24,2019-09-21
1395,Lopez Fire,2019-09-21 14:26:00,Los Padres National Forest,San Luis Obispo,"Upper Lopez Canyon Road & Wittenberg Creek Rd, southeast of San Luis Obispo",220,Los Padres National Forest,-120.45588300000001,35.214364,2019-09-27 18:00:00,2019-09-27,2019-09-21
1396,Kennedy Fire,2019-09-21 17:22:00,CAL FIRE / Riverside County Fire,Riverside,"Moreno Beach Dr & John F. Kennedy Dr, near Lake Perris",98,CAL FIRE / Riverside County Fire,-117.170588,33.900994,2019-09-22 17:00:00,2019-09-22,2019-09-21
1397,Lynette Fire,2019-09-22 18:25:56,Tuolumne-Calaveras Unit,Calaveras,"By the intersection of Loera Hills Road on Paloma Road in Valley Springs, California.",67,,-120.827386,38.20177,,,2019-09-22
1398,Tulloch Fire,2019-09-23 15:55:57,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,"By the intersection of Tulloch Road and Highway 108 in Jamestown, California.",83,,-120.625556,37.838333,2019-09-24 10:21:00,2019-09-24,2019-09-23
1399,Cow Fire,2019-09-24 08:40:45,CAL FIRE Shasta-Trinity Unit,Shasta,at Whitmore Road and Cow Creek Ranch Road in Millville,16,,-122.03916699999999,40.612556,2019-09-24 14:52:00,2019-09-24,2019-09-24
1400,Dehesa Fire ,2019-09-24 15:00:00,CAL FIRE/San Diego County Fire,San Diego,Dehesa Road and Sloan Canyon Road,200,,-116.806941,32.787656,,,2019-09-24
1401,Electra Fire,2019-09-25 13:13:41,CAL FIRE Amador-El Dorado Unit,Amador,"Electra Road and Highway 49, east of Jackson",10,,-120.67131,38.332083000000004,2019-09-25 17:00:00,2019-09-25,2019-09-25
1402,Willow Fire,2019-09-25 14:17:25,Unified Command: CAL FIRE San Diego County Fire & Lakeside Fire Protection District ,San Diego,"near 14000 block of Willow Rd, Northeast Lakeside ",52,Lakeside Fire Protection District ,-116.88,32.87833333,2019-09-25 20:00:00,2019-09-25,2019-09-25
1403,Mare Fire,2019-09-26 15:29:06,City of Vallejo Fire Department,Solano,"Off Tyler Road and Jennings Road, Southwest of Vallejo",30,City of Vallejo Fire Department,-122.25611111,38.07944444,,,2019-09-26
1404,Hwy Fire,2019-09-28 17:48:10,CAL FIRE Butte/ Butte County Fire,Butte,"Off of Hwy 99 and Hwy 149, Southeast of Chico",300,,-121.693472,39.622137,2019-09-28 18:40:00,2019-09-28,2019-09-28
1405,Chaparral Fire,2019-09-29 21:44:45,CAL FIRE Amador-El Dorado,El Dorado,Chaparral Drive and Latrobe Road in Latrobe,22,Amador Eldorado Unit,-120.96510500000001,38.538467,2019-09-29 21:35:00,2019-09-29,2019-09-29
1406,Warren Fire,2019-09-30 07:07:00,CAL FIRE / Riverside County Fire,Riverside,Warren Rd & Old Mine Rd in Hemet,19,,-117.033598,33.703546,2019-09-30 09:05:00,2019-09-30,2019-09-30
1407,Frame Fire,2019-09-30 17:39:00,CAL FIRE Fresno-Kings Unit,Fresno,"Hwy 198 x Frame Rd, east of Monterey County Line",25,,-120.634179,36.154184,,,2019-09-30
1408,Ranch Fire,2019-10-01 22:35:52,Los Padres National Forest ,San Luis Obispo,"Off of Pozo Road and Avenales Ranch Rd, Southeast of Pozo",52,Los Padres National Forest ,-120.1755,35.189783,,,2019-10-01
1409,Del Fire,2019-10-03 13:36:04,CAL FIRE Santa Clara Unit ,Stanislaus,Del Puerto Canyon Road east of Frank Raines Park west of Patterson,18,,-121.33646499999999,37.429505999999996,2019-10-04 10:39:00,2019-10-04,2019-10-03
1410,Elk Fire,2019-10-04 12:03:48,CAL FIRE Tehama-Glenn Unit,Glenn,Elk Creek,63,,-123.4375,41.70611111,2019-10-03 12:03:00,2019-10-03,2019-10-04
1411,Wilson Fire,2019-10-04 18:38:09,MEU,Mendocino,"Highway 101 south of Sloan and Old Sherwood Road in Willits, California",10,,-123.45878200000001,39.613783000000005,,,2019-10-04
1412,Briceburg Fire,2019-10-06 16:15:12,CAL FIRE Madera Mariposa Merced Unit,Mariposa,Highway 140 and Briceburg Bridge Road north of Midpines ,5563,Mariposa County Sheriff’s Office -- California Highway Patrol -- CALTRANS -- California Department of Corrections and Rehabilitation -- U.S. Forest Service -- Bureau of Land Management -- American Red Cross,-119.96606000000001,37.604638,,,2019-10-06
1413,American Fire,2019-10-06 16:36:50,Unified Command: CAL FIRE Sonoma-Lake-Napa Unit and American Canyon Fire Protection District,Napa,"American Canyon and Highway 80, east of American Canyon",526,,-122.211671,38.165873,2019-10-07 18:34:00,2019-10-07,2019-10-06
1414,Point Fire ,2019-10-07 09:58:51,CAL FIRE Santa Clara Unit,Santa Clara,Highway 152 and Dinosaur Point Rd ,29,,-121.219163,37.066483000000005,2019-10-07 09:58:00,2019-10-07,2019-10-07
1415,Dales Fire,2019-10-07 11:03:29,CAL FIRE Tehama Glenn Unit,Tehama,Highway 36E east of Dales Station and Manton Road,11,,-122.07005500000001,40.314187,2019-10-07 11:03:00,2019-10-07,2019-10-07
1416,Little Fire,2019-10-08 17:25:12,CAL FIRE Santa Clara Unit,Alameda,SR 84 and Little Valley Road in Sunol,12,,-121.853,37.606,2019-10-08 17:51:00,2019-10-08,2019-10-08
1417,Cross Fire,2019-10-09 06:52:14,CAL FIRE San Benito-Monterey Unit and CAL FIRE San Luis Obispo Unit,"Monterey, San Luis Obispo",Indian Valley Road and Monterey County Line near Camp Robert's,289,,-120.73102,35.790690000000005,2019-10-11 07:30:00,2019-10-11,2019-10-09
1418,Corning Fire ,2019-10-09 08:31:40,CAL FIRE Tehama-Glenn Unit,Tehama,"Inghram Road, South Corning",68,,-122.1604,39.847708000000004,2019-10-09 12:39:00,2019-10-09,2019-10-09
1419,Inghram Fire,2019-10-09 09:52:52,CAL FIRE Tehama-Glenn Unit,Tehama,"Inghram Road, South Corning",10,,-122.160416,39.847708000000004,2019-10-08 09:52:00,2019-10-08,2019-10-09
1420,Merrill Fire,2019-10-10 06:42:19,City of Moraga,Contra Costa,"Merrill Circle N and Merrill Dr, Moraga",40,,-122.103867,37.828267,2019-10-10 12:00:00,2019-10-10,2019-10-10
1421,Eagle Fire,2019-10-10 12:08:00,CAL FIRE / Riverside County Fire,Riverside,"Eagle Canyon Rd. and Cajalco Rd., southwest of Corona",9,CAL FIRE / Riverside County Fire,-117.499619,33.827979,2019-10-10 18:11:00,2019-10-10,2019-10-10
1422,Reche Fire,2019-10-10 14:18:17,CAL FIRE / Riverside County Fire ,Riverside,"Reche Canyon Rd and Jordan Dr, Moreno Valley",350,CAL FIRE / Riverside County Fire ,-117.20706799999999,33.975405,2019-10-13 07:30:00,2019-10-13,2019-10-10
